id,popularity,vote_average,vote_count
928773,20.572,6.4,60
7445,33.51,7.317,3258
982620,18.578,4.413,69
752623,78.066,6.585,3090
850028,23.46,5.903,144
791155,37.515,6.607,303
38757,112.886,7.602,10671
626735,45.849,7.349,1363
12445,139.365,8.103,19387
1022728,6.236,3.2,5
760104,117.377,6.751,2410
299534,186.044,8.261,24128
872177,27.832,5.2,60
629176,42.879,6.766,1784
338953,113.554,6.701,3922
933943,3.248,6.0,4
1059673,23.634,7.333,60
675,123.935,7.686,18362
580489,152.662,6.8,9325
862965,30.59,6.8,635
744276,111.245,6.831,1057
585083,98.816,6.996,1684
262743,6.406,5.0,10
674,144.974,7.815,19492
673,161.998,8.019,20266
676841,19.003,6.951,164
337167,119.986,6.712,7591
878183,20.633,7.0,94
808,120.859,7.732,15980
24428,165.194,7.711,29391
676701,39.182,7.628,266
836225,60.828,7.126,934
111332,15.379,6.8,125
1003813,24.694,6.127,71
852046,48.767,6.607,636
715931,90.88,7.886,971
934641,21.04,5.432,81
335787,105.384,6.986,5210
924482,48.797,6.507,292
760161,57.422,6.695,1876
816904,57.084,7.116,392
102899,93.217,7.081,18867
1726,115.346,7.639,25094
811656,34.765,5.998,265
717980,26.914,7.06,367
820067,43.343,8.361,337
767,136.272,7.695,18307
985335,14.615,5.856,59
597,152.9,7.9,23894
672,157.286,7.718,20627
68721,90.723,6.927,21226
934433,114.79,7.133,2072
768744,38.063,7.609,442
855440,21.046,6.5,21
820232,66.792,7.866,172
585511,162.694,7.84,1489
671,183.027,7.915,25674
1027159,33.335,6.0,80
848058,50.065,6.7,481
864101,46.006,6.8,33
960258,41.891,5.724,275
438695,104.356,7.907,3995
1040603,17.95,6.31,63
916605,42.209,6.4,220
756999,56.384,7.676,4289
508947,112.448,7.4,4596
683328,39.217,6.952,167
324786,111.056,8.194,12837
568124,141.065,7.622,8787
1024546,32.097,6.496,127
760741,63.697,6.704,1329
792775,26.071,6.158,79
497828,48.974,7.114,1713
545611,145.948,7.819,5413
732459,38.016,6.6,180
751741,42.641,6.623,223
67308,34.476,5.444,161
987750,19.504,6.8,134
754452,15.138,5.1,33
869112,29.939,5.935,131
880841,24.877,6.1,240
575322,58.878,5.8,371
766507,106.327,7.755,5958
661374,147.706,7.052,4690
882598,64.613,6.689,2458
610150,77.54,7.916,2586
675353,150.832,7.554,4386
899579,41.711,5.9,146
740441,35.929,7.444,251
299536,255.971,8.252,28025
810693,114.75,8.191,1127
438148,178.432,7.363,3141
830784,64.148,7.2,482
717728,85.085,5.5,898
1045944,80.918,6.794,252
718930,90.436,7.496,4987
646385,85.405,6.698,2883
453395,178.661,7.343,8175
32516,20.838,6.3,94
1078862,11.849,6.813,48
1063422,23.647,5.492,308
542196,25.456,6.563,88
551271,48.987,7.102,418
507086,173.66,6.77,5344
411,154.607,7.131,9937
615777,77.592,7.438,2392
788752,26.756,5.7,268
943822,47.198,6.332,158
877703,40.877,7.631,696
818422,13.873,6.742,66
980078,58.44,5.266,1046
740952,38.782,6.514,211
873126,51.713,6.672,548
49046,74.059,7.7,3275
877269,60.832,6.415,1089
838484,52.238,5.34,686
966220,83.729,7.644,546
668482,67.63,6.759,643
899112,94.337,7.4,1667
480530,68.365,7.021,5079
724495,85.882,7.723,1782
312221,58.649,7.416,7029
1013870,24.812,5.7,59
587092,41.681,7.101,79
1013860,45.996,6.4,532
634649,345.027,7.986,18581
616037,192.69,6.504,6678
746524,19.041,6.911,123
555604,98.523,8.167,2545
947938,29.048,6.386,66
361743,227.977,8.248,7804
842544,39.536,6.119,214
840789,7.39,6.0,2
676547,77.767,7.032,803
887379,5.324,4.333,3
653851,38.584,7.207,583
996727,29.708,5.944,144
852096,46.591,6.534,471
1058732,29.925,5.984,63
1003580,24.768,6.553,152
736526,84.834,6.678,1532
599019,24.24,6.5,82
955991,35.927,6.04,251
931954,27.385,6.2,160
668482,67.63,6.759,643
480530,68.365,7.021,5079
724495,85.882,7.723,1782
631842,53.209,6.324,1998
505642,200.424,7.169,5667
315162,302.14,8.263,6656
1011679,36.274,5.214,140
646389,84.394,6.991,1864
1058949,26.958,5.833,111
772515,27.925,5.8,269
965839,26.614,5.238,65
536554,110.479,7.171,3399
842942,42.499,6.2,238
677179,150.644,7.181,2096
758009,56.848,6.323,1004
640146,151.401,6.395,4226
267805,25.714,5.235,100
937278,46.705,7.799,2018
436270,189.135,6.995,5615
1035806,31.421,5.44,149
550988,79.316,7.538,7797
613504,103.428,7.198,5107
588228,130.359,7.579,2925
72190,84.157,6.809,14561
214756,91.196,6.289,6971
438631,98.118,7.786,9629
1075536,23.989,2.7,3
317442,49.496,7.8,1735
648579,50.435,6.79,1598
49013,94.949,6.1,7207
295830,44.989,6.1,692
674324,47.38,7.465,2194
425909,78.187,7.433,4004
585245,69.648,7.205,1629
335984,135.474,7.5,12549
337339,92.969,6.885,9792
883083,32.137,6.6,243
150540,198.163,7.922,19709
330457,132.591,7.3,9147
736500,9.472,5.956,227
804095,83.968,7.714,1865
592350,31.474,8.174,1091
916719,27.47,5.9,111
18785,80.612,7.314,15971
91314,68.985,5.925,7666
1025169,39.508,6.815,65
844396,12.193,5.0,44
499338,49.198,7.602,123
177572,99.899,7.735,14858
806929,20.194,5.321,78
846778,20.473,6.584,101
138843,98.101,7.542,10837
898308,18.781,6.0,60
303857,61.286,6.823,1730
